Sum of __index_level_0__,Sum of avg_sea_level_pres_hpa,Sum of avg_temp_c,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,city_name,competition,country,date,date.1,date.2,Sum of Draw,Sum of Loose,Sum of max_temp_c,Sum of min_temp_c,neutral,Opponent,Sum of Point,precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of sunshine_total_min,TA,Team,TF,Sum of TotalTri,TranchTemp,TranchWind,Sum of Win,world_cup
4678,,,,,Adelaide,Adelaide,2003 Rugby World Cup,Australia,2003-10-26 00:00:00,2003-10-26 00:00:00,1899-12-30 00:00:00,0,0,9.2,4.7,True,Argentina,3,,W,Spring,false,,Adelaide Oval,95678,,15,Ireland,16,31,no data,no data,1,True
4678,,,,,Adelaide,Adelaide,2003 Rugby World Cup,Australia,2003-10-26 00:00:00,2003-10-26 00:00:00,1899-12-30 00:00:00,0,1,9.2,4.7,True,Ireland,0,,L,Spring,false,,Adelaide Oval,95678,,16,Argentina,15,31,no data,no data,0,True
11539,1022.5,8.8,39,13.4,Adelaide,Adelaide,2022 Rugby Championship,Australia,2022-08-27 00:00:00,2022-08-27 00:00:00,1899-12-30 00:00:00,0,1,13.4,7.6,False,Australia,0,0,L,Winter,false,,Adelaide Oval,95678,,25,South Africa,17,42,0-20,moins de 30,0,False
11539,1022.5,8.8,39,13.4,Adelaide,Adelaide,2022 Rugby Championship,Australia,2022-08-27 00:00:00,2022-08-27 00:00:00,1899-12-30 00:00:00,0,0,13.4,7.6,False,South Africa,3,0,W,Winter,false,,Adelaide Oval,95678,,17,Australia,25,42,0-20,moins de 30,1,False
28961,,22.4,,4.3,Albany,Albany,2017 Rugby Championship,New Zealand,2017-09-16 00:00:00,2017-09-16 00:00:00,1899-12-30 00:00:00,0,1,28.3,17.8,False,New Zealand,0,0,L,Autumn,false,0,North Harbour Stadium,72518,,57,South Africa,0,57,20-30,moins de 30,0,False
28961,,22.4,,4.3,Albany,Albany,2017 Rugby Championship,New Zealand,2017-09-16 00:00:00,2017-09-16 00:00:00,1899-12-30 00:00:00,0,0,28.3,17.8,False,South Africa,3,0,W,Autumn,false,0,North Harbour Stadium,72518,,0,New Zealand,57,57,20-30,moins de 30,1,False
4,,11.6,,,Auckland,Auckland,1994 South Africa tour,New Zealand,1994-08-06 00:00:00,1994-08-06 00:00:00,1899-12-30 00:00:00,1,0,,,False,New Zealand,1,0,D,Winter,false,,Eden Park,93110,,18,South Africa,18,36,0-20,no data,0,False
4,,11.6,,,Auckland,Auckland,1994 South Africa tour,New Zealand,1994-08-06 00:00:00,1994-08-06 00:00:00,1899-12-30 00:00:00,1,0,,,False,South Africa,1,0,D,Winter,false,,Eden Park,93110,,18,New Zealand,18,36,0-20,no data,0,False
335,,11.1,,,Auckland,Auckland,1995 Australia tour of New Zealand,New Zealand,1995-07-22 00:00:00,1995-07-22 00:00:00,1899-12-30 00:00:00,0,0,,,False,Australia,3,17,W,Winter,false,,Eden Park,93110,,16,New Zealand,28,44,0-20,no data,1,False
335,,11.1,,,Auckland,Auckland,1995 Australia tour of New Zealand,New Zealand,1995-07-22 00:00:00,1995-07-22 00:00:00,1899-12-30 00:00:00,0,1,,,False,New Zealand,0,17,L,Winter,false,,Eden Park,93110,,28,Australia,16,44,0-20,no data,0,False
