Club,T,FH,SH,0-20,21-40,41-60,61-80,MP
Namibia,37,18,19,10,9,9,10,4
Romania,36,16,20,10,7,8,12,3
Chile,30,12,18,4,8,8,11,4
Italy,17,10,7,4,7,2,5,3
Tonga,15,8,7,2,7,2,5,2
Portugal,11,6,5,4,3,2,3,3
Uruguay,10,4,6,4,-,4,2,3
Japan,9,3,6,1,2,2,4,3
Australia,8,2,6,2,-,3,3,4
Georgia,8,3,5,2,1,3,2,3
Fiji,6,3,3,1,2,1,2,3
Wales,5,2,3,2,-,-,3,3
Manu Samoa,5,4,1,3,1,1,-,3
New Zealand,4,-,4,-,-,2,2,3
Scotland,4,1,3,1,-,3,-,3
France,4,2,2,2,-,2,-,3
Ireland,3,2,1,1,1,1,-,3
Argentina,2,-,2,-,-,-,2,3
South Africa,1,1,-,-,1,-,-,3
England,1,-,1,-,-,-,1,3
,216,97,119,53,49,53,67,62
