Club,T,FH,SH,0-20,21-40,41-60,61-80,MP
New Zealand,27,14,13,7,7,6,7,3
Ireland,21,10,11,3,7,3,8,3
Scotland,19,10,9,3,7,4,5,3
France,19,9,10,4,5,4,6,3
South Africa,15,5,10,4,1,6,4,3
England,15,6,9,1,5,4,6,3
Italy,14,3,11,3,-,6,5,3
Australia,11,6,5,3,3,2,3,4
Wales,11,5,6,3,2,3,3,3
Argentina,10,4,6,3,1,1,5,3
Manu Samoa,9,2,7,-,2,3,4,3
Uruguay,9,5,4,2,3,3,1,3
Japan,9,5,4,2,3,2,2,3
Fiji,7,2,5,2,-,2,3,3
Portugal,5,2,3,1,1,1,2,3
Georgia,4,1,3,1,-,1,2,3
Chile,4,2,2,2,-,1,1,4
Tonga,3,2,1,1,1,1,-,2
Namibia,3,3,-,2,1,-,-,4
Romania,1,1,-,1,-,-,-,3
,216,97,119,48,49,53,67,62
