A(D),Club,VS,MD,
23(275),Portugal,Georgia,23-Sep-2023,Match Details
23(28),Namibia,France,21-Sep-2023,Match Details
24(281),Romania,South Africa,17-Sep-2023,Match Details
25(337),France,Uruguay,14-Sep-2023,Match Details
25(160),Georgia,Fiji,30-Sep-2023,Match Details
26(35),Chile,Japan,10-Sep-2023,Match Details
26(39),Italy,Uruguay,20-Sep-2023,Match Details
27(284),Uruguay,France,14-Sep-2023,Match Details
27(314),Fiji,Wales,10-Sep-2023,Match Details
27(342),Australia,Portugal,01-Oct-2023,Match Details
27(48),Wales,Portugal,16-Sep-2023,Match Details
27(78),England,Chile,23-Sep-2023,Match Details
27(121),Argentina,Chile,30-Sep-2023,Match Details
28(329),Scotland,Romania,30-Sep-2023,Match Details
28(13),Japan,Chile,10-Sep-2023,Match Details
28(121),Tonga,South Africa,01-Oct-2023,Match Details
29(199),New Zealand,Namibia,15-Sep-2023,Match Details
30(325),Ireland,South Africa,23-Sep-2023,Match Details
30(30),South Africa,Scotland,10-Sep-2023,Match Details
31(290),Manu Samoa,Chile,16-Sep-2023,Match Details
