Points,Club,VS Club,Date,
113,New Zealand,Italy,29-09-2023,Match details
96,France,Namibia,21-09-2023,Match details
90,Ireland,Romania,09-09-2023,Match details
84,Scotland,Romania,30-09-2023,Match details
76,South Africa,Romania,17-09-2023,Match details
75,Ireland,Tonga,16-09-2023,Match details
74,New Zealand,Namibia,15-09-2023,Match details
71,England,Chile,23-09-2023,Match details
64,Argentina,Chile,30-09-2023,Match details
62,Namibia,Uruguay,27-09-2023,Match details
62,Scotland,Tonga,24-09-2023,Match details
60,Italy,Namibia,09-09-2023,Match details
58,Fiji,Wales,10-09-2023,Match details
55,Italy,Uruguay,20-09-2023,Match details
54,Chile,Japan,10-09-2023,Match details
53,Chile,Manu Samoa,16-09-2023,Match details
50,Australia,Georgia,09-09-2023,Match details
50,Japan,Manu Samoa,28-09-2023,Match details
48,Portugal,Australia,01-10-2023,Match details
46,Wales,Australia,24-09-2023,Match details
46,England,Japan,17-09-2023,Match details
42,France,New Zealand,08-09-2023,Match details
39,France,Uruguay,14-09-2023,Match details
37,Argentina,England,09-09-2023,Match details
37,Fiji,Australia,17-09-2023,Match details
36,Georgia,Portugal,23-09-2023,Match details
36,Wales,Portugal,16-09-2023,Match details
29,Argentina,Manu Samoa,22-09-2023,Match details
29,Fiji,Georgia,30-09-2023,Match details
21,Ireland,South Africa,23-09-2023,Match details
21,South Africa,Scotland,10-09-2023,Match details
