date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1871-03-27,Scotland,England,1,0,1871 Scotland v England International,Raeburn Place,Edinburgh,Scotland,False,False
1872-02-05,England,Scotland,2,1,1871–72 Home Nations International,The Oval,London,England,False,False
1873-03-03,Scotland,England,0,0,1872–73 Home Nations International,West of Scotland F.C.,Glasgow,Scotland,False,False
1874-02-23,England,Scotland,1,0,1873–74 Home Nations International,The Oval,London,England,False,False
1875-02-15,England,Ireland,2,0,1874–75 Home Nations rugby union matches,The Oval,London,England,False,False
1875-03-08,Scotland,England,0,0,1874–75 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False
1875-12-13,Ireland,England,0,1,1875–76 Home Nations rugby union matches,Rathmines,Dublin,Ireland,False,False
1876-03-06,England,Scotland,1,0,1875–76 Home Nations International,The Oval,London,England,False,False
1877-02-05,England,Ireland,2,0,1876–77 Home Nations rugby union matches,The Oval,London,England,False,False
1877-02-19,Ireland,Scotland,0,6,1876–77 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False
1877-03-05,Scotland,England,1,0,1876–77 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False
1878-03-04,England,Scotland,0,0,1877–78 Home Nations International,The Oval,London,England,False,False
1878-03-11,Ireland,England,0,2,1877–78 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False
1879-02-17,Ireland,Scotland,0,2,1878–79 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False
1879-03-10,Scotland,England,1,1,1878–79 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False
1879-03-24,England,Ireland,3,0,1878–79 Home Nations rugby union matches,The Oval,London,England,False,False
1880-01-30,Ireland,England,0,1,1879–80 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False
1880-02-14,Scotland,Ireland,3,0,1879–80 Home Nations rugby union matches,Hamilton Crescent,Glasgow,Scotland,False,False
1880-02-28,England,Scotland,2,1,1879–80 Home Nations International,Whalley Range,Manchester,England,False,False
1881-02-10,England,Ireland,2,0,1880–81 Home Nations rugby union matches,Whalley Range,Manchester,England,False,False
1881-02-19,Ireland,Scotland,1,0,1880–81 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False
1881-02-19,England,Wales,8,0,Wales tour,Richardson's Field,Blackheath,England,False,False
1881-03-19,Scotland,England,1,1,1880–81 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False
1882-01-28,Ireland,Wales,0,2,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False
1882-02-06,Ireland,England,0,0,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False
1882-02-18,Scotland,Ireland,1,0,1881–82 Home Nations rugby union matches,Hamilton Crescent,Glasgow,Scotland,False,False
1882-03-04,England,Scotland,0,1,1881–82 Home Nations International,Whalley Range,Manchester,England,False,False
1882-12-16,Wales,England,0,2,1883 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1883-01-08,Scotland,Wales,3,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1883-02-10,England,Ireland,1,0,1883 Home Nations Championship,Whalley Range,Manchester,England,False,False
1883-02-17,Ireland,Scotland,0,1,1883 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False
1883-03-03,Scotland,England,0,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1884-01-05,England,Wales,2,1,1884 Home Nations Championship,Cardigan Fields,Leeds,England,False,False
1884-01-12,Wales,Scotland,0,1,1884 Home Nations Championship,Rodney Parade,Newport,Wales,False,False
1884-02-04,Ireland,England,0,1,1884 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1884-02-16,Scotland,Ireland,2,0,1884 Home Nations Championship,Hamilton Crescent,Glasgow,Scotland,False,False
1884-03-01,England,Scotland,1,0,1884 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1884-04-12,Wales,Ireland,1,0,1884 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1885-01-03,Wales,England,1,2,1885 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1885-01-10,Scotland,Wales,0,0,1885 Home Nations Championship,Hamilton Crescent,Glasgow,Scotland,False,False
1885-02-07,England,Ireland,1,0,1885 Home Nations Championship,Whalley Range,Manchester,England,False,False
1885-03-07,Scotland,Ireland,1,0,1885 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1886-01-02,England,Wales,2,1,1886 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1886-01-09,Wales,Scotland,0,2,1886 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1886-02-06,Ireland,England,0,1,1886 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1886-02-20,Scotland,Ireland,4,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1886-03-13,Scotland,England,0,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1887-01-08,Wales,England,0,0,1887 Home Nations Championship,Stradey Park,Llanelli,Wales,False,False
1887-02-05,Ireland,England,2,0,1887 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1887-02-19,Ireland,Scotland,0,2,1887 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False
1887-02-26,Scotland,Wales,4,0,1887 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1887-03-05,England,Scotland,0,0,1887 Home Nations Championship,Whalley Range,Manchester,England,False,False
1887-03-12,Wales,Ireland,0,1,1887 Home Nations Championship,Birkenhead Park,Birkenhead,England,True,False
